case_id,type,candidate_count,parse_success_count,baseline_exact,baseline_node_f1,baseline_edge_f1,baseline_arg_value_f1,baseline_quality_score,oracle_quality_best_source,oracle_quality_best_family,oracle_quality_best_node_f1,oracle_quality_best_edge_f1,oracle_quality_best_arg_value_f1,oracle_quality_best_score,oracle_node_best_family,oracle_node_best_node_f1,oracle_node_best_quality_score,oracle_edge_best_family,oracle_edge_best_edge_f1,oracle_edge_best_quality_score,combined_quality_best_source,combined_quality_best_family,combined_quality_best_score,combined_node_best_source,combined_node_best_family,combined_node_best_node_f1,combined_edge_best_source,combined_edge_best_family,combined_edge_best_edge_f1,quality_gain_vs_baseline,combined_quality_gain_vs_baseline,node_gain_vs_baseline,combined_node_gain_vs_baseline,edge_gain_vs_baseline,combined_edge_gain_vs_baseline,unique_workflow_count,unique_structure_count,unique_node_sequence_count,mean_pairwise_structure_distance,candidates_equal_baseline,structures_equal_baseline,baseline_nodes,oracle_quality_best_nodes,combined_quality_best_nodes
13864445,chain,5,5,True,1.0,1.0,1.0,1.0,candidate,minimal,1.0,1.0,1.0,1.0,minimal,1.0,1.0,minimal,1.0,1.0,baseline,baseline,1.0,baseline,baseline,1.0,baseline,baseline,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,5,5,Text Sentiment Analysis -> Text-to-Video -> Video-to-Audio,Text Sentiment Analysis -> Text-to-Video -> Video-to-Audio,Text Sentiment Analysis -> Text-to-Video -> Video-to-Audio
13917832,single,5,5,True,1.0,,1.0,1.0,candidate,minimal,1.0,,1.0,1.0,minimal,1.0,1.0,,,,baseline,baseline,1.0,baseline,baseline,1.0,,,,0.0,0.0,0.0,0.0,,,1,1,1,0.0,5,5,Image Search (by Image),Image Search (by Image),Image Search (by Image)
14570693,chain,5,5,True,1.0,1.0,1.0,1.0,candidate,minimal,1.0,1.0,1.0,1.0,minimal,1.0,1.0,minimal,1.0,1.0,baseline,baseline,1.0,baseline,baseline,1.0,baseline,baseline,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,5,5,Text Expander -> Article Spinner -> Text Simplifier,Text Expander -> Article Spinner -> Text Simplifier,Text Expander -> Article Spinner -> Text Simplifier
15307439,chain,5,5,True,1.0,1.0,1.0,1.0,candidate,minimal,1.0,1.0,1.0,1.0,minimal,1.0,1.0,minimal,1.0,1.0,baseline,baseline,1.0,baseline,baseline,1.0,baseline,baseline,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,5,5,Audio Effects -> Audio-to-Text -> Text Expander -> Video Search -> Video Speed Changer,Audio Effects -> Audio-to-Text -> Text Expander -> Video Search -> Video Speed Changer,Audio Effects -> Audio-to-Text -> Text Expander -> Video Search -> Video Speed Changer
15414201,dag,5,5,False,0.28571428571428575,0.0,0.20000000000000004,0.08571428571428573,candidate,minimal,0.4,0.0,0.28571428571428575,0.12063492063492065,minimal,0.4,0.12063492063492065,minimal,0.0,0.12063492063492065,candidate,minimal,0.12063492063492065,candidate,minimal,0.4,candidate,minimal,0.0,0.03492063492063492,0.03492063492063492,0.11428571428571427,0.11428571428571427,0.0,0.0,4,4,4,0.55,1,1,Text-to-Video -> Video Speed Changer -> Video Splicer,Video Speed Changer,Video Speed Changer
16097613,chain,5,5,True,1.0,1.0,1.0,1.0,candidate,minimal,1.0,1.0,1.0,1.0,minimal,1.0,1.0,minimal,1.0,1.0,baseline,baseline,1.0,baseline,baseline,1.0,baseline,baseline,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,5,5,Video-to-Audio -> Audio Noise Reduction -> Audio Effects,Video-to-Audio -> Audio Noise Reduction -> Audio Effects,Video-to-Audio -> Audio Noise Reduction -> Audio Effects
16470663,single,5,5,False,0.0,,0.0,0.2222222222222222,candidate,minimal,0.0,,0.0,0.2222222222222222,minimal,0.0,0.2222222222222222,,,,baseline,baseline,0.2222222222222222,baseline,baseline,0.0,,,,0.0,0.0,0.0,0.0,,,1,1,1,0.0,5,5,Text-to-Image -> Image-to-Video,Text-to-Image -> Image-to-Video,Text-to-Image -> Image-to-Video
18081315,chain,5,5,True,1.0,1.0,1.0,1.0,candidate,minimal,1.0,1.0,1.0,1.0,minimal,1.0,1.0,minimal,1.0,1.0,baseline,baseline,1.0,baseline,baseline,1.0,baseline,baseline,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,0,0,Text Expander -> Text-to-Image -> Image-to-Text -> Video Voiceover,Text Expander -> Text-to-Image -> Image-to-Text -> Video Voiceover,Text Expander -> Text-to-Image -> Image-to-Text -> Video Voiceover
18153929,single,5,5,False,0.0,,0.0,0.2222222222222222,candidate,minimal,0.0,,0.0,0.2222222222222222,minimal,0.0,0.2222222222222222,,,,baseline,baseline,0.2222222222222222,baseline,baseline,0.0,,,,0.0,0.0,0.0,0.0,,,1,1,1,0.0,0,0,Image Search,Text Search,Image Search
18534983,chain,5,5,False,0.6666666666666666,0.0,0.5,0.2037037037037037,candidate,minimal,0.6666666666666666,0.0,0.5,0.2037037037037037,minimal,0.6666666666666666,0.2037037037037037,minimal,0.0,0.2037037037037037,baseline,baseline,0.2037037037037037,baseline,baseline,0.6666666666666666,baseline,baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,0,0,Text Downloader -> Text-to-Audio -> Video Voiceover,Text Downloader -> Text-to-Audio -> Video Voiceover,Text Downloader -> Text-to-Audio -> Video Voiceover
19690344,chain,5,5,False,1.0,,0.6666666666666666,0.5185185185185186,candidate,minimal,1.0,,0.6666666666666666,0.5185185185185186,minimal,1.0,0.5185185185185186,,,,baseline,baseline,0.5185185185185186,baseline,baseline,1.0,,,,0.0,0.0,0.0,0.0,,,1,1,1,0.0,5,5,Video-to-Audio -> Audio-to-Image,Video-to-Audio -> Audio-to-Image,Video-to-Audio -> Audio-to-Image
21047396,chain,5,5,False,0.8571428571428571,0.8,0.6666666666666665,0.4423280423280423,candidate,minimal,0.8571428571428571,0.8,0.6666666666666665,0.4423280423280423,minimal,0.8571428571428571,0.4423280423280423,minimal,0.8,0.4423280423280423,baseline,baseline,0.4423280423280423,baseline,baseline,0.8571428571428571,baseline,baseline,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,5,5,Text Simplifier -> Text-to-Image -> Image Stitcher,Text Simplifier -> Text-to-Image -> Image Stitcher,Text Simplifier -> Text-to-Image -> Image Stitcher
23427738,single,5,4,True,1.0,,1.0,1.0,candidate,minimal,1.0,,1.0,1.0,minimal,1.0,1.0,,,,baseline,baseline,1.0,baseline,baseline,1.0,,,,0.0,0.0,0.0,0.0,,,2,2,2,0.4,4,4,Topic Generator,Topic Generator,Topic Generator
23756502,single,5,5,False,0.6666666666666666,,0.6666666666666666,0.4444444444444444,candidate,action_coverage,1.0,,1.0,1.0,action_coverage,1.0,1.0,,,,candidate,action_coverage,1.0,candidate,action_coverage,1.0,,,,0.5555555555555556,0.5555555555555556,0.33333333333333337,0.33333333333333337,,,2,2,2,0.2,4,4,Video Search -> Video Downloader,Video Search,Video Search
24192922,chain,5,5,False,0.8,0.6666666666666666,0.5714285714285715,0.38941798941798944,candidate,minimal,0.8,0.6666666666666666,0.5714285714285715,0.38941798941798944,minimal,0.8,0.38941798941798944,minimal,0.6666666666666666,0.38941798941798944,baseline,baseline,0.38941798941798944,baseline,baseline,0.8,baseline,baseline,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,5,5,Text-to-Video -> Video Voiceover,Text-to-Video -> Video Voiceover,Text-to-Video -> Video Voiceover
24402294,chain,5,5,False,0.7272727272727272,0.22222222222222224,0.4615384615384615,0.2622809289475956,candidate,minimal,0.7272727272727272,0.22222222222222224,0.4615384615384615,0.2622809289475956,minimal,0.7272727272727272,0.2622809289475956,minimal,0.22222222222222224,0.2622809289475956,baseline,baseline,0.2622809289475956,baseline,baseline,0.7272727272727272,baseline,baseline,0.22222222222222224,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1,0.0,3,5,Text Downloader -> Text Summarizer -> Text-to-Audio -> Audio Effects -> Audio-to-Image,Text Downloader -> Text Summarizer -> Text-to-Audio -> Audio Effects -> Audio-to-Image,Text Downloader -> Text Summarizer -> Text-to-Audio -> Audio Effects -> Audio-to-Image
25051013,single,5,5,True,1.0,,1.0,1.0,candidate,minimal,1.0,,1.0,1.0,minimal,1.0,1.0,,,,baseline,baseline,1.0,baseline,baseline,1.0,,,,0.0,0.0,0.0,0.0,,,1,1,1,0.0,5,5,Text Simplifier,Text Simplifier,Text Simplifier
25866928,chain,5,5,False,0.888888888888889,0.4,0.22222222222222224,0.3111111111111111,candidate,minimal,0.888888888888889,0.6666666666666666,0.4444444444444445,0.39506172839506176,minimal,0.888888888888889,0.39506172839506176,minimal,0.6666666666666666,0.39506172839506176,candidate,minimal,0.39506172839506176,candidate,minimal,0.888888888888889,candidate,minimal,0.6666666666666666,0.08395061728395065,0.08395061728395065,0.0,0.0,0.2666666666666666,0.2666666666666666,1,1,1,0.0,0,0,Text Search -> Text Grammar Checker -> Topic Generator -> Text-to-Image,Text Search -> Text Grammar Checker -> Topic Generator -> Text-to-Image,Text Search -> Text Grammar Checker -> Topic Generator -> Text-to-Image
26034796,chain,5,5,True,1.0,1.0,1.0,1.0,candidate,typed_dependency,1.0,1.0,1.0,1.0,typed_dependency,1.0,1.0,typed_dependency,1.0,1.0,baseline,baseline,1.0,baseline,baseline,1.0,baseline,baseline,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,0.48000000000000004,3,3,Video Downloader -> Video-to-Audio -> Audio-to-Text -> Text-to-Audio -> Audio-to-Text,Video Downloader -> Video-to-Audio -> Audio-to-Text -> Text-to-Audio -> Audio-to-Text,Video Downloader -> Video-to-Audio -> Audio-to-Text -> Text-to-Audio -> Audio-to-Text
26103736,single,5,5,True,1.0,,1.0,1.0,candidate,minimal,1.0,,1.0,1.0,minimal,1.0,1.0,,,,baseline,baseline,1.0,baseline,baseline,1.0,,,,0.0,0.0,0.0,0.0,,,1,1,1,0.0,5,5,Text Grammar Checker,Text Grammar Checker,Text Grammar Checker
26171658,single,5,5,False,1.0,,0.0,0.4444444444444444,candidate,minimal,1.0,,0.0,0.4444444444444444,minimal,1.0,0.4444444444444444,,,,baseline,baseline,0.4444444444444444,baseline,baseline,1.0,,,,0.0,0.0,0.0,0.0,,,1,1,1,0.0,5,5,Text Expander,Text Expander,Text Expander
27258164,dag,5,5,True,1.0,1.0,1.0,1.0,candidate,minimal,1.0,1.0,1.0,1.0,minimal,1.0,1.0,minimal,1.0,1.0,baseline,baseline,1.0,baseline,baseline,1.0,baseline,baseline,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,0,5,Voice Changer -> Audio Noise Reduction -> Audio-to-Image -> Image-to-Video,Voice Changer -> Audio Noise Reduction -> Audio-to-Image -> Image-to-Video,Voice Changer -> Audio Noise Reduction -> Audio-to-Image -> Image-to-Video
27780863,chain,5,5,True,1.0,1.0,1.0,1.0,candidate,action_coverage,1.0,1.0,1.0,1.0,action_coverage,1.0,1.0,action_coverage,1.0,1.0,baseline,baseline,1.0,baseline,baseline,1.0,baseline,baseline,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1,0.19999999999999998,2,2,Text Translator -> Video Search -> Video Synchronization,Text Translator -> Video Search -> Video Synchronization,Text Translator -> Video Search -> Video Synchronization
28095039,chain,5,5,False,0.8333333333333334,0.20000000000000004,0.42857142857142855,0.27724867724867724,candidate,parallel_dag,0.7692307692307692,0.1818181818181818,0.39999999999999997,0.2557886557886558,parallel_dag,0.7692307692307692,0.2557886557886558,parallel_dag,0.1818181818181818,0.2557886557886558,baseline,baseline,0.27724867724867724,baseline,baseline,0.8333333333333334,baseline,baseline,0.20000000000000004,-0.02146002146002146,0.0,-0.06410256410256421,0.0,-0.018181818181818243,0.0,3,3,2,0.14285714285714285,0,0,Audio Downloader -> Text Simplifier -> Video Voiceover -> Video-to-Audio -> Audio-to-Text -> URL Extractor,Audio Downloader -> Text Simplifier -> Audio-to-Text -> Video Voiceover -> Video-to-Audio -> Audio-to-Text -> URL Extractor,Audio Downloader -> Text Simplifier -> Video Voiceover -> Video-to-Audio -> Audio-to-Text -> URL Extractor
28319577,chain,5,5,False,0.25,0.0,0.0,0.05555555555555555,candidate,minimal,0.25,0.0,0.0,0.05555555555555555,minimal,0.25,0.05555555555555555,minimal,0.0,0.05555555555555555,baseline,baseline,0.05555555555555555,baseline,baseline,0.25,baseline,baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,5,5,Text Downloader -> Text Grammar Checker -> Topic Generator -> Image Search,Text Downloader -> Text Grammar Checker -> Topic Generator -> Image Search,Text Downloader -> Text Grammar Checker -> Topic Generator -> Image Search
29292224,chain,5,5,False,0.9090909090909091,0.28571428571428575,0.3636363636363636,0.3059163059163059,candidate,typed_dependency,0.9090909090909091,0.28571428571428575,0.3636363636363636,0.3059163059163059,typed_dependency,0.9090909090909091,0.3059163059163059,typed_dependency,0.28571428571428575,0.3059163059163059,baseline,baseline,0.3059163059163059,baseline,baseline,0.9090909090909091,baseline,baseline,0.28571428571428575,0.0,0.0,0.0,0.0,0.0,0.0,3,3,2,0.26,1,1,Text Summarizer -> Text Sentiment Analysis -> Keyword Extractor -> Text Simplifier -> Topic Generator,Text Summarizer -> Text Sentiment Analysis -> Keyword Extractor -> Text Simplifier -> Topic Generator,Text Summarizer -> Text Sentiment Analysis -> Keyword Extractor -> Text Simplifier -> Topic Generator
30872064,single,5,5,False,1.0,,0.0,0.4444444444444444,candidate,minimal,1.0,,0.0,0.4444444444444444,minimal,1.0,0.4444444444444444,,,,baseline,baseline,0.4444444444444444,baseline,baseline,1.0,,,,0.0,0.0,0.0,0.0,,,2,2,2,0.2,4,4,Audio-to-Image,Audio-to-Image,Audio-to-Image
30934207,single,5,5,True,1.0,,1.0,1.0,candidate,minimal,1.0,,1.0,1.0,minimal,1.0,1.0,,,,baseline,baseline,1.0,baseline,baseline,1.0,,,,0.0,0.0,0.0,0.0,,,1,1,1,0.0,5,5,Image Stitcher,Image Stitcher,Image Stitcher
31310133,single,5,5,False,0.0,,0.0,0.2222222222222222,candidate,minimal,1.0,,0.0,0.4444444444444444,minimal,1.0,0.4444444444444444,,,,candidate,minimal,0.4444444444444444,candidate,minimal,1.0,,,,0.2222222222222222,0.2222222222222222,1.0,1.0,,,3,3,3,0.6,0,1,Text-to-Image -> Image-to-Video,Text-to-Video,Text-to-Video
31664374,dag,5,5,False,0.6666666666666666,0.5,0.5,0.31481481481481477,candidate,action_coverage,0.5714285714285715,0.4,0.4444444444444445,0.26525573192239865,action_coverage,0.5714285714285715,0.26525573192239865,action_coverage,0.4,0.26525573192239865,baseline,baseline,0.31481481481481477,baseline,baseline,0.6666666666666666,baseline,baseline,0.5,-0.04955908289241612,0.0,-0.09523809523809512,0.0,-0.09999999999999998,0.0,2,2,1,0.2,0,0,Text Paraphraser -> Text Summarizer -> Video Speed Changer,Text Paraphraser -> Text Summarizer -> Video-to-Audio -> Audio Speed Changer,Text Paraphraser -> Text Summarizer -> Video Speed Changer
31733796,single,5,2,True,1.0,,1.0,1.0,candidate,action_coverage,0.6666666666666666,,0.5,0.4259259259259259,action_coverage,0.6666666666666666,0.4259259259259259,,,,baseline,baseline,1.0,baseline,baseline,1.0,,,,-0.5740740740740742,0.0,-0.33333333333333337,0.0,,,2,2,2,0.6,0,0,Audio-to-Text,Audio-to-Text -> Text-to-File,Audio-to-Text
31893844,chain,5,5,False,0.888888888888889,0.8571428571428571,0.7272727272727272,0.4688151354818022,candidate,minimal,0.888888888888889,0.8571428571428571,0.7272727272727272,0.4688151354818022,minimal,0.888888888888889,0.4688151354818022,minimal,0.8571428571428571,0.4688151354818022,baseline,baseline,0.4688151354818022,baseline,baseline,0.888888888888889,baseline,baseline,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,0.3,2,2,Text Translator -> URL Extractor -> Audio Downloader -> Audio Effects,Text Translator -> URL Extractor -> Audio Downloader -> Audio Effects,Text Translator -> URL Extractor -> Audio Downloader -> Audio Effects
36690562,dag,5,5,False,1.0,0.75,0.8571428571428571,0.4841269841269841,candidate,minimal,1.0,0.75,0.8571428571428571,0.4841269841269841,minimal,1.0,0.4841269841269841,minimal,0.75,0.4841269841269841,baseline,baseline,0.4841269841269841,baseline,baseline,1.0,baseline,baseline,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,5,5,Video-to-Audio -> Audio Splicer -> Audio-to-Text -> Audio Effects -> Audio-to-Image,Video-to-Audio -> Audio Splicer -> Audio-to-Text -> Audio Effects -> Audio-to-Image,Video-to-Audio -> Audio Splicer -> Audio-to-Text -> Audio Effects -> Audio-to-Image
40313104,single,5,5,True,1.0,,1.0,1.0,candidate,minimal,1.0,,1.0,1.0,minimal,1.0,1.0,,,,baseline,baseline,1.0,baseline,baseline,1.0,,,,0.0,0.0,0.0,0.0,,,1,1,1,0.0,5,5,Video Stabilizer,Video Stabilizer,Video Stabilizer
46051366,chain,5,5,False,0.5714285714285715,0.33333333333333337,0.25,0.22883597883597886,candidate,minimal,0.5714285714285715,0.33333333333333337,0.25,0.22883597883597886,minimal,0.5714285714285715,0.22883597883597886,minimal,0.33333333333333337,0.22883597883597886,baseline,baseline,0.22883597883597886,baseline,baseline,0.5714285714285715,baseline,baseline,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,5,5,Topic Generator -> Image Search,Topic Generator -> Image Search,Topic Generator -> Image Search
51891536,chain,5,5,True,1.0,1.0,1.0,1.0,candidate,minimal,1.0,1.0,1.0,1.0,minimal,1.0,1.0,minimal,1.0,1.0,baseline,baseline,1.0,baseline,baseline,1.0,baseline,baseline,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,5,5,Image-to-Text -> Text Grammar Checker -> Text Paraphraser -> Text Summarizer,Image-to-Text -> Text Grammar Checker -> Text Paraphraser -> Text Summarizer,Image-to-Text -> Text Grammar Checker -> Text Paraphraser -> Text Summarizer
60932031,chain,5,5,False,0.5,,0.0,0.3333333333333333,candidate,action_coverage,0.888888888888889,,0.0,0.41975308641975306,action_coverage,0.888888888888889,0.41975308641975306,,,,candidate,action_coverage,0.41975308641975306,candidate,action_coverage,0.888888888888889,,,,0.08641975308641975,0.08641975308641975,0.38888888888888895,0.38888888888888895,,,3,3,3,0.325,0,0,Audio-to-Text -> Text Simplifier -> Text-to-Audio,Audio-to-Text -> Text Expander -> Text Grammar Checker -> Text-to-Audio,Audio-to-Text -> Text Expander -> Text Grammar Checker -> Text-to-Audio
87050118,single,5,5,False,1.0,,0.0,0.4444444444444444,candidate,minimal,1.0,,0.0,0.4444444444444444,minimal,1.0,0.4444444444444444,,,,baseline,baseline,0.4444444444444444,baseline,baseline,1.0,,,,0.0,0.0,0.0,0.0,,,1,1,1,0.0,5,5,Text Summarizer,Text Summarizer,Text Summarizer
88388827,chain,5,5,False,0.8,0.6666666666666666,0.5714285714285715,0.38941798941798944,candidate,minimal,0.8,0.6666666666666666,0.5714285714285715,0.38941798941798944,minimal,0.8,0.38941798941798944,minimal,0.6666666666666666,0.38941798941798944,baseline,baseline,0.38941798941798944,baseline,baseline,0.8,baseline,baseline,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,3,1,1,0.0,3,5,Audio Effects -> Audio-to-Image,Audio Effects -> Audio-to-Image,Audio Effects -> Audio-to-Image
96133316,single,5,2,False,1.0,,0.0,0.4444444444444444,candidate,parallel_dag,1.0,,0.0,0.4444444444444444,parallel_dag,1.0,0.4444444444444444,,,,baseline,baseline,0.4444444444444444,baseline,baseline,1.0,,,,0.0,0.0,0.0,0.0,,,3,3,3,0.7,0,1,Image Search,Image Search,Image Search
